short_date,hour,lat,long,temp,rhum,rain,sol_rad
4/30/2016,0,52.857,-6.909,4.3,85,0,0
4/30/2016,1,52.857,-6.909,3.8,86,0,0
4/30/2016,2,52.857,-6.909,3.4,88,0,0
4/30/2016,3,52.857,-6.909,3,86,0,0
4/30/2016,4,52.857,-6.909,3,87,0,0
4/30/2016,5,52.857,-6.909,2.9,86,0,0.085
4/30/2016,6,52.857,-6.909,3.5,89,0,0.437
4/30/2016,7,52.857,-6.909,5.6,78,0,0.439
4/30/2016,8,52.857,-6.909,6,80,0,0.752
4/30/2016,9,52.857,-6.909,7.7,75,0,1.375
4/30/2016,10,52.857,-6.909,8.7,69,0,1.022
4/30/2016,11,52.857,-6.909,7.7,83,0.5,1.361
4/30/2016,12,52.857,-6.909,9.6,72,0,1.586
4/30/2016,13,52.857,-6.909,10.2,68,0,1.21
4/30/2016,14,52.857,-6.909,10.3,64,0,0.665
4/30/2016,15,52.857,-6.909,8.4,89,1.2,1.628
4/30/2016,16,52.857,-6.909,10.8,66,0,1.183
4/30/2016,17,52.857,-6.909,11.4,67,0,0.95
4/30/2016,18,52.857,-6.909,11.9,57,0,0.422
4/30/2016,19,52.857,-6.909,10.1,67,0,0.088
4/30/2016,20,52.857,-6.909,8.1,77,0,0
4/30/2016,21,52.857,-6.909,7.2,80,0,0
4/30/2016,22,52.857,-6.909,7.1,80,0.1,0
4/30/2016,23,52.857,-6.909,7.2,89,0,0
5/1/2016,0,52.857,-6.909,8,79,0,0
5/1/2016,1,52.857,-6.909,7.4,82,0,0
5/1/2016,2,52.857,-6.909,7.2,84,0,0
5/1/2016,3,52.857,-6.909,8.1,91,0,0
5/1/2016,4,52.857,-6.909,8.6,95,0.1,0
5/1/2016,5,52.857,-6.909,8.9,97,0.3,0.005
5/1/2016,6,52.857,-6.909,9.4,98,0.1,0.075
5/1/2016,7,52.857,-6.909,10.1,97,0.2,0.241
5/1/2016,8,52.857,-6.909,10.6,97,0,0.305
5/1/2016,9,52.857,-6.909,11.3,97,0,0.722
5/1/2016,10,52.857,-6.909,12.4,94,0,0.476
5/1/2016,11,52.857,-6.909,13.4,89,0,0.555
5/1/2016,12,52.857,-6.909,14.2,87,0,0.648
5/1/2016,13,52.857,-6.909,14.7,82,0,0.615
5/1/2016,14,52.857,-6.909,15.3,80,0,1.148
5/1/2016,15,52.857,-6.909,16.5,78,0,1.278
5/1/2016,16,52.857,-6.909,17.4,76,0,0.805
5/1/2016,17,52.857,-6.909,16.8,76,0,0.231
